date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,sentiment,count
09-04-21,249.960007,253.559998,246.800003,250.960007,250.960007,2322350,0.079803941,0.064398659,0.080800724,0.093934226,0.071456972,0.100258548,0.080120029,0.086526681,0.106072738,0.0808069,0.083288721,0.072531861,1.571428571,7
12-04-21,250.839996,251.600006,240.039993,240.039993,240.039993,2790210,0.096105987,0.063347991,0.065149819,0.109569052,0.073005544,0.089381396,0.064713067,0.072290633,0.098140064,0.106445981,0.089278716,0.07257175,-1,2
13-04-21,242,244.080002,238.479996,240,240,2789340,0.081425137,0.075043617,0.110128608,0.068035423,0.07494052,0.091586675,0.080393042,0.121141466,0.07609641,0.068202539,0.076187605,0.076818957,-1.5,4
14-04-21,240.080002,241.919998,236.839996,237.759995,237.759995,2728430,0.090948628,0.090387951,0.081292167,0.066506368,0.072631341,0.076686426,0.088581163,0.083887956,0.110255735,0.073021808,0.09193097,0.073869489,2,4
15-04-21,237.839996,243.479996,234.360001,242.559998,242.559998,2717880,0.090948628,0.090387951,0.081292167,0.066506368,0.072631341,0.076686426,0.088581163,0.083887956,0.110255735,0.073021808,0.09193097,0.073869489,2,0
16-04-21,242,249.119995,240.919998,248,248,9760730,0.090948628,0.090387951,0.081292167,0.066506368,0.072631341,0.076686426,0.088581163,0.083887956,0.110255735,0.073021808,0.09193097,0.073869489,2,0
19-04-21,250,251.559998,244.199997,244.479996,244.479996,2684040,0.098936604,0.074439117,0.068088185,0.089842625,0.078701746,0.092760731,0.072704486,0.079042179,0.105105646,0.07501879,0.076229609,0.089130281,0.285714286,7
20-04-21,244,245,235.759995,236.320007,236.320007,3819340,0.08401294,0.074814595,0.094183671,0.086508763,0.071794398,0.08941739,0.079780213,0.082214117,0.083488496,0.097199995,0.076803534,0.079781889,-0.666666667,3
21-04-21,238.399994,241.559998,234.919998,241,241,2772895,0.074688774,0.090793794,0.10294983,0.074736292,0.074817209,0.074429772,0.083189436,0.117072029,0.074625104,0.074809116,0.083293508,0.074595137,0,2
22-04-21,240.800003,265.679993,239,265.600006,265.600006,6540805,0.074770389,0.103890717,0.069997241,0.08522323,0.080895215,0.088942633,0.080410686,0.085082235,0.09415955,0.085696684,0.081088588,0.069842832,0.333333333,3
23-04-21,265.959991,269.799988,256.679993,262.799988,262.799988,4193705,0.090339579,0.070338602,0.092048839,0.098945529,0.075841139,0.10427468,0.076129897,0.07537627,0.089065175,0.084116303,0.071671278,0.071852708,-0.75,4
26-04-21,264,270.119995,263.839996,265.279999,265.279999,14877200,0.097833342,0.067284009,0.077438672,0.083215853,0.080191165,0.110350775,0.077192206,0.07694868,0.099466404,0.085461587,0.071692446,0.072924862,0.875,8
27-04-21,268.5,276.700012,267.5,276.350006,276.350006,2780849,0.078531328,0.070646884,0.099028428,0.078541554,0.078556223,0.101065239,0.078623008,0.078387375,0.101243469,0.093522204,0.070991371,0.070862918,1,2
28-04-21,277.5,277.75,262.25,266.100006,266.100006,2322031,0.078616353,0.078616353,0.134739669,0.078703388,0.078616356,0.078685386,0.078695523,0.078616353,0.078616353,0.078654654,0.078822245,0.078617366,0,1
29-04-21,269,269,255.300003,258.200012,258.200012,3033404,0.071444382,0.075800732,0.089837517,0.091996973,0.077941505,0.102670115,0.077542146,0.081254175,0.07979066,0.0854373,0.070317175,0.09596732,-1.25,4
03-05-21,256,256,241.5,247,247,3320776,0.08004072,0.123089063,0.076767457,0.080395609,0.079816804,0.083086154,0.079540482,0.075278207,0.079237437,0.084480027,0.083303872,0.074964168,1,13
04-05-21,248.199997,251.699997,226.300003,230.399994,230.399994,6104988,0.076270114,0.089798969,0.072179739,0.090384872,0.086992749,0.103847059,0.071055731,0.071122583,0.083938247,0.098803013,0.078010153,0.077596772,-0.6,5
05-05-21,230.600006,252.600006,230.5,248.800003,248.800003,5265334,0.08140728,0.06984809,0.080316433,0.083475401,0.088321233,0.079623199,0.092086789,0.074786836,0.079120489,0.080080902,0.07734747,0.113585876,0.894736842,19
06-05-21,243.100006,244.800003,232.100006,232.399994,232.399994,4643046,0.077384371,0.092034657,0.083791272,0.078860498,0.081019131,0.081207285,0.076206973,0.102798321,0.081310468,0.07634001,0.072558516,0.0964885,-0.153846154,13
