date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,sentiment,count
28-04-21,15360,15545,15110,15505,15505,23023,0.100346546,0.102211595,0.088343164,0.086717152,0.088240716,0.091270277,0.094041315,0.097106485,0.081328342,0.085725704,0.084668705,0.727272727,11
29-04-21,15570,15755,15370,15370,15370,27454,0.09895503,0.076916469,0.084752403,0.07744823,0.084354476,0.1559922,0.0776377,0.104083679,0.077563472,0.084926718,0.077369623,1,2
03-05-21,15215,15350,14925,15140,15140,28421,0.087760352,0.08894554,0.103562382,0.091663132,0.085275236,0.087253642,0.102141254,0.090842457,0.082081015,0.086312133,0.094162857,0.25,12
04-05-21,15240,15380,14790,14990,14990,26847,0.103727144,0.102271621,0.087690073,0.091299152,0.077121078,0.077092627,0.090972953,0.089739215,0.101464219,0.10095509,0.077666827,0,3
05-05-21,15150,16040,15105,16030,16030,47564,0.087583182,0.094235764,0.080083181,0.080550852,0.084182867,0.081074284,0.093006139,0.117980478,0.092157846,0.088451851,0.100693555,1.652173913,23
06-05-21,16100,16500,15935,16215,16215,34622,0.092891066,0.092413069,0.087924744,0.089639425,0.088868147,0.095336748,0.092550719,0.091765867,0.092455445,0.088394092,0.087760678,-0.076923077,13
07-05-21,16310,16310,15860,15985,15985,29446,0.086887289,0.099112531,0.097062897,0.088372693,0.091452181,0.074180543,0.092893408,0.083904756,0.106951081,0.093621663,0.085560958,0,6
10-05-21,16140,16780,16115,16450,16450,35736,0.080329617,0.080382039,0.081847827,0.100416654,0.096892886,0.083285652,0.131495081,0.08105804,0.081367342,0.093675187,0.089249675,0,2
11-05-21,16100,16175,15580,15800,15800,40604,0.077485165,0.085878872,0.086844584,0.08775788,0.09109402,0.088785109,0.09460402,0.0849054,0.108128061,0.101857528,0.092659363,0.388888889,18
12-05-21,15550,15885,15315,15505,15505,29652,0.075974293,0.076010248,0.084593257,0.092853823,0.083968405,0.101691976,0.099753904,0.08687808,0.114024202,0.096178402,0.08807341,0.4,15
17-05-21,15450,15790,15410,15570,15570,28520,0.076393521,0.146854733,0.085879004,0.076082148,0.082140413,0.103921091,0.080113045,0.074685968,0.076624249,0.075294908,0.12201092,-0.333333333,3
18-05-21,15720,16350,15720,16350,16350,35385,0.079631043,0.079704357,0.085488977,0.141093962,0.097652512,0.080477776,0.08647652,0.08344886,0.08287213,0.098203988,0.084949876,1,1
19-05-21,16365,16740,15985,16245,16245,34273,0.091221455,0.091088848,0.077282221,0.099441794,0.086620962,0.091133691,0.083865405,0.078210029,0.122200764,0.087976642,0.090958188,0,3
20-05-21,16375,16685,16355,16685,16685,29670,0.170837031,0.125745223,0.073174256,0.074396262,0.119923627,0.070730968,0.073608721,0.07290044,0.073625246,0.071282487,0.07377574,-2,1
21-05-21,16700,17120,16675,17100,17100,26264,0.073112426,0.078651882,0.09338412,0.100667718,0.07948221,0.085278289,0.103765319,0.097185357,0.090118961,0.106015782,0.092337936,1,3
25-05-21,17285,17580,17010,17030,17030,22610,0.09018166,0.081706284,0.104918986,0.100867592,0.092120304,0.078345886,0.090034971,0.09023021,0.107561537,0.082142154,0.081890416,0.4,5
26-05-21,16955,17155,16730,16795,16795,28336,0.083314943,0.083477006,0.0854909,0.102796685,0.068622569,0.069311849,0.089264112,0.110883567,0.133462833,0.099965472,0.073410065,1,1
27-05-21,16800,17040,16560,16730,16730,49135,0.071466524,0.071577504,0.075807181,0.108703523,0.072853506,0.103478971,0.10724387,0.073545409,0.092349491,0.100839927,0.122134094,3,1
28-05-21,16750,17085,16730,16865,16865,19938,0.073325739,0.110056404,0.094611122,0.075745598,0.105478902,0.073434008,0.091402475,0.084104358,0.075778081,0.109893463,0.10616985,4,1
31-05-21,17050,17135,16795,16830,16830,13916,0.090437893,0.090541655,0.080960642,0.111021038,0.084757357,0.084254524,0.086900607,0.097172102,0.097823206,0.091119275,0.085011702,-1.5,4
